## utf-8


分类          | 模块         | 子模块/子程序       | 文件类型   | 功能说明                                                                                        | 程序位置                            | 是否修改                   | 是否基于开源 | 备注   | 开发编译环境 | 负责人 | 备注
前置规约      | 前置         | shmfert.dll         | 动态库     | 共享内存动态库                                                                                  | fert                                | 少量修改                   |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libinterface.dll    | 动态库     | 规约与共享内存的接口动态库                                                                      | fert                                | 少量修改，增加日志         |              |        | C++          | 周天鸣 |
前置规约      | 前置         | coms                | 可执行程序 | 前置机的主要程序                                                                                | fert                                | 少量修改，增加调试         |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libprotoXXX.dll     | 动态库     | 规约动态库，XXX为三位数字                                                                       | fert                                | 修改，增加多种现场规约     |              |        | C++          | 周天鸣 |
前置规约      | 前置         | comview             | 可执行程序 | 前置机调试界面程序                                                                              | fert                                | 修改，增加遥控对话框等     |              |        | C++          | 周天鸣 |
前置规约      | 前置         | coma                | 可执行程序 | 前置机的辅助程序                                                                                | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | comr                | 可执行程序 | 前置机远程界面访问服务                                                                          | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | comc                | 可执行程序 | 前置机的字符终端的形式                                                                          | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libcomr_cli.dll     | 动态库     | 前置机远程服务接口                                                                              | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libcomview.dll      | 动态库     | 前置机界面接口                                                                                  | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libgprsXXX.dll      | 动态库     | GPRS规约动态库，XXX为三位数字                                                                   | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libgprsbase.dll     | 动态库     | GPRS规约基类                                                                                    | fert                                |                            |              |        | C++          | 周天鸣 |
前置规约      | 前置         | libprotobase.dll    | 动态库     | 规约基类动态库                                                                                  | fert                                |                            |              |        | C++          | 周天鸣 |
界面绘图      | 界面绘图包   | scadaui.dll         | 动态库     | "界面SCADA应用主模块还包括图形注释，保存历史模型等功能"                                         | smmi\app\scadaui                    | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | uiappif.dll         | 动态库     | 界面应用基类（UIAppInterface）                                                                  | smmi\app\uiappif                    |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | bastimectrl.dll     | 动态库     | 环控时间表控制动态库                                                                            | smmi\component\bastimectrl          | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | checkctrl.dll       | 动态库     | 遥控安全约束模块                                                                                | smmi\component\checkctrl            |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | colorpalette.dll    | 动态库     | 调色板类                                                                                        | smmi\component\colorpalette         |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | ctable.dll          | 动态库     | 在Qtable上层封装的表格控件                                                                      | smmi\component\ctable               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | curveview.dll       | 动态库     | 历史数据表格、曲线方式查看                                                                      | smmi\component\curveview            |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dataviewdll.dll     | 动态库     | dataview主框架动态库                                                                            | smmi\component\curveview            |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | datamaintain.dll    | 动态库     | 人工置数、抑制查看                                                                              | smmi\component\datamaintain         | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | deliverctrl.dll     | 动态库     | 控制权限移交动态库                                                                              | smmi\component\deliverctrl          | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dispatchctrl.dll    | 动态库     | "遥控、遥调、序列控制、群控、模拟屏操作、旁路替代等操作模块"                                    | smmi\component\dispatchctrl         | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | dxflib.dll          | 动态库     | 读取dxf格式(autocad文件)文件模块                                                                | smmi\component\dxflib               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | faultrecur.dll      | 动态库     | 事故追忆模块                                                                                    | smmi\component\faultrecur           |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | gzpplugin.dll       | 动态库     | 光字牌控件                                                                                      | smmi\component\gzpplugin            | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | zqtable.dll         | 动态库     | qtable的一些特殊化处理，主要用于，图形界面，数据库，报警记录显示等                              | smmi\component\ialarm\zqtable       | 修改                       |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | inhibitctrl.dll     | 动态库     | 设备屏蔽控件                                                                                    | smmi\component\inhibitctrl          |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | language_tr.dll     | 动态库     | 语言翻译动态库（扩展）                                                                          | smmi\component\language_tr          |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | pointmanage.dll     | 动态库     | 遥测遥信点属性设置模块                                                                          | smmi\component\pointmanage          |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | protui.dll          | 动态库     | 保护界面                                                                                        | smmi\component\protui               |                            |              |        | C++          | 张德志 |
界面绘图      | 界面绘图包   | querypara.dll       | 动态库     | 设备参数浏览，单点历史事项浏览，实时数据浏览，通道信息浏览模块                                  | smmi\component\querypara            | 修改                       |              |        | C++          | 张德志 |
